# ----------------------------------------
# すべてのウェブサイトのデータ
# チャネル
# 20180501-20190923
# ----------------------------------------

Default Channel Grouping,ユーザー,新規ユーザー,セッション,直帰率,ページ/セッション,平均セッション時間,コンバージョン率,目標の完了数,目標値
Organic Search,"10,239","10,291","14,580",84.39%,1.25,00:01:09,0.00%,0,$0.00
Direct,"1,439","1,433","2,039",83.77%,1.41,00:01:12,0.00%,0,$0.00
Social,315,297,413,82.57%,1.37,00:00:57,0.00%,0,$0.00
Referral,86,64,322,57.14%,3.15,00:06:24,0.00%,0,$0.00
Email,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
,"12,080","12,086","17,355",83.77%,1.30,00:01:15,0.00%,0,$0.00

日の指標,ユーザー
2018/05/01,0
2018/05/02,0
2018/05/03,0
2018/05/04,0
2018/05/05,9
2018/05/06,146
2018/05/07,76
2018/05/08,42
2018/05/09,27
2018/05/10,23
2018/05/11,57
2018/05/12,18
2018/05/13,24
2018/05/14,24
2018/05/15,21
2018/05/16,25
2018/05/17,23
2018/05/18,25
2018/05/19,11
2018/05/20,11
2018/05/21,22
2018/05/22,24
2018/05/23,22
2018/05/24,26
2018/05/25,20
2018/05/26,12
2018/05/27,18
2018/05/28,22
2018/05/29,26
2018/05/30,22
2018/05/31,25
2018/06/01,25
2018/06/02,16
2018/06/03,14
2018/06/04,27
2018/06/05,22
2018/06/06,30
2018/06/07,18
2018/06/08,22
2018/06/09,9
2018/06/10,12
2018/06/11,20
2018/06/12,26
2018/06/13,23
2018/06/14,23
2018/06/15,13
2018/06/16,7
2018/06/17,7
2018/06/18,25
2018/06/19,23
2018/06/20,21
2018/06/21,19
2018/06/22,27
2018/06/23,14
2018/06/24,15
2018/06/25,20
2018/06/26,24
2018/06/27,30
2018/06/28,30
2018/06/29,30
2018/06/30,10
2018/07/01,9
2018/07/02,23
2018/07/03,19
2018/07/04,28
2018/07/05,23
2018/07/06,24
2018/07/07,10
2018/07/08,7
2018/07/09,19
2018/07/10,20
2018/07/11,21
2018/07/12,15
2018/07/13,18
2018/07/14,9
2018/07/15,19
2018/07/16,15
2018/07/17,18
2018/07/18,20
2018/07/19,22
2018/07/20,13
2018/07/21,7
2018/07/22,8
2018/07/23,18
2018/07/24,23
2018/07/25,13
2018/07/26,17
2018/07/27,14
2018/07/28,9
2018/07/29,15
2018/07/30,24
2018/07/31,17
2018/08/01,20
2018/08/02,17
2018/08/03,17
2018/08/04,11
2018/08/05,17
2018/08/06,17
2018/08/07,17
2018/08/08,12
2018/08/09,22
2018/08/10,24
2018/08/11,24
2018/08/12,15
2018/08/13,22
2018/08/14,21
2018/08/15,23
2018/08/16,22
2018/08/17,28
2018/08/18,13
2018/08/19,20
2018/08/20,30
2018/08/21,36
2018/08/22,26
2018/08/23,32
2018/08/24,30
2018/08/25,18
2018/08/26,11
2018/08/27,32
2018/08/28,25
2018/08/29,30
2018/08/30,29
2018/08/31,53
2018/09/01,14
2018/09/02,21
2018/09/03,33
2018/09/04,31
2018/09/05,42
2018/09/06,32
2018/09/07,35
2018/09/08,14
2018/09/09,21
2018/09/10,36
2018/09/11,25
2018/09/12,21
2018/09/13,22
2018/09/14,37
2018/09/15,18
2018/09/16,17
2018/09/17,17
2018/09/18,40
2018/09/19,37
2018/09/20,28
2018/09/21,35
2018/09/22,14
2018/09/23,8
2018/09/24,24
2018/09/25,34
2018/09/26,33
2018/09/27,48
2018/09/28,24
2018/09/29,21
2018/09/30,24
2018/10/01,43
2018/10/02,42
2018/10/03,38
2018/10/04,55
2018/10/05,41
2018/10/06,24
2018/10/07,15
2018/10/08,28
2018/10/09,39
2018/10/10,29
2018/10/11,29
2018/10/12,36
